,Code,Year,Schizophrenia disorders,Depressive disorders,Anxiety disorders,Bipolar disorders,Eating disorders
65,LOW_MID_INC,1995,0.27298218,4.0194383,3.2206032,0.41502008,0.09450413
66,LOW_MID_INC,1996,0.27286923,4.014923,3.2009263,0.415099,0.09477753
67,LOW_MID_INC,1997,0.27268413,4.005127,3.166554,0.41518158,0.09510406
68,LOW_MID_INC,1998,0.27247742,3.9938056,3.128723,0.41525778,0.09548014
69,LOW_MID_INC,1999,0.27229854,3.9841726,3.098639,0.41533646,0.095982224
70,LOW_MID_INC,2000,0.2721915,3.9797282,3.0873654,0.41542718,0.09655394
71,LOW_MID_INC,2001,0.27219144,3.9856348,3.0913079,0.41551793,0.0972889
72,LOW_MID_INC,2002,0.27226958,3.999286,3.0987785,0.41561902,0.09819289
73,LOW_MID_INC,2003,0.27237964,4.0154185,3.1083791,0.41574243,0.09920579
74,LOW_MID_INC,2004,0.27247593,4.027881,3.118795,0.41591203,0.100326404
75,LOW_MID_INC,2005,0.27251196,4.030484,3.1286166,0.4161506,0.101534374
76,LOW_MID_INC,2006,0.27247715,3.9884615,3.1498485,0.4163758,0.10283862
77,LOW_MID_INC,2007,0.2724108,3.8943017,3.1882298,0.41652656,0.10449089
78,LOW_MID_INC,2008,0.27234676,3.7818131,3.2328475,0.41667137,0.1062607
79,LOW_MID_INC,2009,0.2723234,3.6851275,3.2724874,0.4168142,0.10808379
80,LOW_MID_INC,2010,0.27238065,3.6382694,3.2955966,0.416908,0.10981485
81,LOW_MID_INC,2011,0.27282745,3.6291625,3.307017,0.4169282,0.111551985
82,LOW_MID_INC,2012,0.27374798,3.6233408,3.318773,0.4169027,0.11341999
83,LOW_MID_INC,2013,0.27484077,3.6198285,3.3301494,0.4169218,0.11532743
84,LOW_MID_INC,2014,0.27580822,3.6184375,3.3401725,0.4170116,0.11737048
85,LOW_MID_INC,2015,0.27635413,3.618356,3.3477213,0.4171738,0.119396426
86,LOW_MID_INC,2016,0.27657497,3.6183755,3.3539553,0.4173961,0.121894024
87,LOW_MID_INC,2017,0.2766293,3.618725,3.3583412,0.41766593,0.12415139
88,LOW_MID_INC,2018,0.27633566,3.616914,3.3514168,0.4179861,0.12564765
89,LOW_MID_INC,2019,0.2757216,3.6115844,3.3327048,0.41834548,0.12693328
90,UP_MID_INC,1990,0.2895783,3.2081223,3.8084762,0.41446644,0.112212434
91,UP_MID_INC,1991,0.28951907,3.2386937,3.8123548,0.4152993,0.11245831
92,UP_MID_INC,1992,0.28944808,3.261632,3.8169272,0.4162868,0.11284637
93,UP_MID_INC,1993,0.28937718,3.2773087,3.8229868,0.41737175,0.11326468
94,UP_MID_INC,1994,0.28930813,3.2857025,3.8297374,0.41852167,0.11384706
95,UP_MID_INC,1995,0.28923318,3.2864716,3.836526,0.4198336,0.11449397
96,UP_MID_INC,1996,0.28912365,3.2773159,3.860919,0.42106313,0.115318514
97,UP_MID_INC,1997,0.28897992,3.259178,3.911331,0.42221728,0.116240144
98,UP_MID_INC,1998,0.28884673,3.2377338,3.972424,0.42321214,0.11724985
99,UP_MID_INC,1999,0.2887509,3.2181242,4.0280685,0.42409757,0.11833645
100,UP_MID_INC,2000,0.28871033,3.205382,4.0619793,0.42500737,0.11944191
101,UP_MID_INC,2001,0.28872526,3.2005773,4.0663,0.42581737,0.12069632
102,UP_MID_INC,2002,0.2887703,3.2002068,4.0517793,0.42668393,0.122234344
103,UP_MID_INC,2003,0.2888466,3.2017384,4.028556,0.4275911,0.12396292
104,UP_MID_INC,2004,0.2889553,3.2019947,4.0065684,0.42854306,0.12581556
105,UP_MID_INC,2005,0.28909358,3.1977684,3.996319,0.42955646,0.12772584
106,UP_MID_INC,2006,0.28937978,3.1815307,3.9946215,0.43052262,0.12981527
107,UP_MID_INC,2007,0.2898405,3.152805,3.9923284,0.4315847,0.1323509
108,UP_MID_INC,2008,0.2903467,3.121323,3.990341,0.432885,0.13510765
109,UP_MID_INC,2009,0.29077566,3.0962641,3.988884,0.43450397,0.13797899
110,UP_MID_INC,2010,0.2910081,3.0855362,3.9877403,0.43634376,0.14071162
111,UP_MID_INC,2011,0.2909878,3.0896294,3.9713686,0.43829563,0.14333577
112,UP_MID_INC,2012,0.29080626,3.09991,3.9343603,0.44035858,0.14603518
113,UP_MID_INC,2013,0.29056618,3.112881,3.891814,0.44250423,0.14884833
114,UP_MID_INC,2014,0.29036745,3.125157,3.8591423,0.44474655,0.1517429
115,UP_MID_INC,2015,0.29030958,3.1331546,3.8520641,0.44702724,0.15460728
116,UP_MID_INC,2016,0.29240283,3.1343088,3.8937526,0.4491594,0.15829037
117,UP_MID_INC,2017,0.29448202,3.1340878,3.9371734,0.4511798,0.16136906
118,UP_MID_INC,2018,0.29435405,3.1322966,3.943191,0.4532082,0.16325162
119,UP_MID_INC,2019,0.2937444,3.1256948,3.933253,0.45536798,0.16463594
