,Code,Year,Schizophrenia disorders,Depressive disorders,Anxiety disorders,Bipolar disorders,Eating disorders
73,ASIA_IHME,2003,0.28976786,3.3657982,3.2248578,0.32670823,0.107393466
74,ASIA_IHME,2004,0.28979507,3.3779595,3.1978812,0.3273246,0.108795986
75,ASIA_IHME,2005,0.28981602,3.382033,3.1849494,0.32787827,0.11026574
76,ASIA_IHME,2006,0.28989854,3.3566835,3.1909444,0.32829535,0.11178412
77,ASIA_IHME,2007,0.29006857,3.298219,3.2096946,0.32874402,0.11367872
78,ASIA_IHME,2008,0.2902602,3.2290518,3.2336378,0.3292686,0.115696676
79,ASIA_IHME,2009,0.29041606,3.1716802,3.2546694,0.32983452,0.11776006
80,ASIA_IHME,2010,0.29049417,3.1479168,3.2643657,0.33044228,0.11971668
81,ASIA_IHME,2011,0.29062065,3.1519988,3.261816,0.33107898,0.12167905
82,ASIA_IHME,2012,0.2908952,3.1608655,3.254212,0.33168805,0.1237254
83,ASIA_IHME,2013,0.29123524,3.1719203,3.245807,0.3322587,0.1258007
84,ASIA_IHME,2014,0.29155102,3.1829913,3.240573,0.3328356,0.12803893
85,ASIA_IHME,2015,0.29174533,3.1914704,3.2424552,0.33349207,0.13029866
86,ASIA_IHME,2016,0.29312426,3.1956189,3.2646673,0.33420235,0.13334852
87,ASIA_IHME,2017,0.2943791,3.1990314,3.2872593,0.33492965,0.13594061
88,ASIA_IHME,2018,0.29398188,3.2001421,3.282474,0.3356867,0.13751562
89,ASIA_IHME,2019,0.29303145,3.1961586,3.258719,0.3365103,0.13872583
90,EUR_IHME,1990,0.27685905,3.6706705,4.4007916,0.72438604,0.27100173
91,EUR_IHME,1991,0.27659193,3.6603432,4.395434,0.7242674,0.27101284
92,EUR_IHME,1992,0.2763143,3.6508627,4.389711,0.7241101,0.27098155
93,EUR_IHME,1993,0.27607065,3.64237,4.3835554,0.7239516,0.27085727
94,EUR_IHME,1994,0.27586713,3.6357381,4.377351,0.723963,0.27060118
95,EUR_IHME,1995,0.27570406,3.6312757,4.371487,0.72416955,0.27028146
96,EUR_IHME,1996,0.2755336,3.6301,4.365066,0.7243301,0.2701512
97,EUR_IHME,1997,0.2753299,3.6328275,4.3588343,0.72430784,0.270195
98,EUR_IHME,1998,0.2751404,3.6362674,4.3541346,0.72426015,0.27049145
99,EUR_IHME,1999,0.27500188,3.6385713,4.3516507,0.7243655,0.2713072
100,EUR_IHME,2000,0.27495095,3.6370144,4.3523316,0.7246847,0.27241546
101,EUR_IHME,2001,0.27496648,3.6287568,4.356478,0.72536767,0.2742558
102,EUR_IHME,2002,0.27500916,3.6149921,4.363762,0.7263846,0.27682054
103,EUR_IHME,2003,0.27507806,3.598339,4.373546,0.7276744,0.27977535
104,EUR_IHME,2004,0.27516884,3.5820675,4.3851075,0.72904205,0.2828641
105,EUR_IHME,2005,0.27527392,3.5691898,4.397513,0.73022175,0.28556597
106,EUR_IHME,2006,0.27542916,3.5610254,4.4180555,0.7311914,0.2884975
107,EUR_IHME,2007,0.2756484,3.5559568,4.449878,0.7321368,0.2919832
108,EUR_IHME,2008,0.2758889,3.5542705,4.485411,0.7331915,0.29577044
109,EUR_IHME,2009,0.27611682,3.553865,4.517135,0.734295,0.29929963
110,EUR_IHME,2010,0.27629328,3.5533965,4.5371704,0.73542315,0.3022481
111,EUR_IHME,2011,0.2765488,3.5526135,4.550123,0.7365389,0.30488577
112,EUR_IHME,2012,0.27695933,3.5508556,4.564322,0.73754376,0.30720708
113,EUR_IHME,2013,0.2774068,3.5482662,4.57789,0.7385037,0.30952078
114,EUR_IHME,2014,0.27778283,3.546718,4.5892353,0.73946935,0.31171626
115,EUR_IHME,2015,0.27797478,3.546587,4.596085,0.7404078,0.3140306
116,EUR_IHME,2016,0.27807897,3.5427897,4.5913353,0.7412512,0.31757072
117,EUR_IHME,2017,0.2781013,3.5371735,4.5844975,0.7418994,0.32058457
118,EUR_IHME,2018,0.27734905,3.5381575,4.577611,0.7423811,0.3225034
119,EUR_IHME,2019,0.2757307,3.5443268,4.5646415,0.7428389,0.32406414
120,EU27,1990,0.27728134,3.725058,5.0050573,0.8143038,0.3463342
121,EU27,1991,0.2771077,3.6986022,5.0011683,0.81397307,0.3477558
122,EU27,1992,0.27696094,3.6749907,4.9969993,0.8136768,0.34901822
123,EU27,1993,0.27685505,3.6551414,4.9921117,0.8134901,0.35042933
124,EU27,1994,0.27678534,3.6401043,4.9857593,0.8134173,0.35161993
125,EU27,1995,0.27674773,3.630819,4.977978,0.81341976,0.35255292
126,EU27,1996,0.2767525,3.6291878,4.9679637,0.813472,0.35374868
127,EU27,1997,0.27680448,3.634868,4.9564757,0.81355876,0.35503507
128,EU27,1998,0.2768853,3.642911,4.945492,0.8137328,0.35657442
129,EU27,1999,0.27697098,3.6491427,4.9367094,0.813962,0.35842595
130,EU27,2000,0.27704063,3.6495128,4.9324512,0.8142284,0.36040264
131,EU27,2001,0.27707878,3.6408768,4.933086,0.8149915,0.36321157
132,EU27,2002,0.27709883,3.6247737,4.9375286,0.8163968,0.36707777
133,EU27,2003,0.27711627,3.6054518,4.9450846,0.8181154,0.3713024
134,EU27,2004,0.27715245,3.587303,4.954928,0.81973225,0.3754174
135,EU27,2005,0.27721837,3.5747578,4.96655,0.8208201,0.3788312
